institutions_2012,2012,2013,2014,2015,2016,2017,2018
Harvard University,30745534.0,32689489.0,36429256.0,37615545.0,35665743.0,37096474.0,39233736.0
Yale University,19264289.0,20708793.0,23858561.0,25542983.0,25413149.0,27216639.0,29444936.0
Princeton University,17404002.0,18786132.0,20576361.0,22291269.899,21703487.582,23353233.273,25438280.78
University of Texas System Office,17070514.572,19740282.879,25445315.326,22548855.897,23861770.561,25947841.897,30597370.4
Stanford University,17035804.0,18688868.0,21466006.0,22222957.0,22398130.0,24784943.0,26464912.0
Massachusetts Institute of Technology,10149564.0,10857976.0,12425131.0,13474743.0,13181515.0,14832483.0,16400027.0
Columbia University in the City of New York,7654152.0,8197880.0,9223047.0,9639065.0,9041027.0,9996596.0,10869245.0
"University of Michigan, Ann Arbor",7586547.0,8272366.0,9603919.0,9809705.0,9600640.0,10777563.0,11733013.0
"Texas A & M University, College Station",7032203.615,8072054.79,10521034.492,9754202.036,9858672.136,10808501.077,12688650.784
University of Pennsylvania,6754658.0,7741396.0,9582335.0,10133569.0,10715364.0,12213207.0,13777441.0
University of Notre Dame,6444599.0,6959051.0,8189096.0,8784381.0,8748266.0,9684936.0,11065058.0
University of California System Admin Central Office,6342217.0,6402600.0,7413709.0,6950190.0,8367764.0,9837900.0,10828968.0
Emory University,5774499.577,6115581.644,6981307.921,6787163.0,6902625.0,7613022.036,7985467.382
University of Chicago,5701419.217,5886967.76,6539289.712,6553570.933,6121266.491,6617076.109,7009011.789
Northwestern University,5574319.0,6283130.0,7501116.0,7588029.0,7478167.0,7947574.0,8386918.0
Duke University,5555196.0,6040973.0,7036776.0,7296545.0,6839780.0,7911175.0,8524846.0
Washington University in St Louis,5303196.0,5749297.0,6719449.0,6889230.0,6526726.0,7214958.0,7687392.0
"University of Virginia, Main Campus",4734894.689,5106876.214,5876310.216,6098997.318,5774743.884,6308922.241,6856257.988
Rice University,4448069.0,4895299.0,5553717.0,5573038.0,5354508.0,5835568.0,6228857.0
Cornell University,3850425.867,4133841.635,4646133.725,4760560.41,4524419.293,6516444.986,6871480.635
University of Southern California,3488933.0,3868355.0,4593014.0,4709511.0,4608714.0,5130520.0,5544267.0
Dartmouth College,3486383.419,3733596.412,4468219.698,4663491.08,4474403.648,4956494.167,5494203.052
Vanderbilt University,3360036.0,3635343.0,4046250.0,4093388.0,3795586.0,4136465.0,4608461.295
University of Texas at Austin,2861389.483,3012894.72,3376824.061,3341835.84,3374451.315,3678479.743,4039906.928
New York University,2800399.0,2980027.0,3435034.0,,3587113.0,4076048.275,4222210.163
"University of Pittsburgh, Pittsburgh Campus",2600313.578,2956738.766,3470665.237,3565683.53,3501943.956,3921013.932,4174774.99
Johns Hopkins University,2593316.0,2918546.0,3392529.0,3326932.0,3306987.0,3744751.0,4190520.0
Brown University,2525091.0,2669948.0,2999749.0,3073349.0,2963366.0,3245531.0,3603848.0
"University of Minnesota, Twin Cities",2424734.327,2610544.078,2992707.059,3113770.286,3089349.622,3290771.443,3500753.156
"Ohio State University, Main Campus",2348193.399,3130941.782,3595323.149,3640908.76,3689935.813,4233105.933,5189800.565
"University of Washington, Seattle Campus",2206039.925,2432421.073,2915057.707,3148083.552,3004445.263,3239135.093,3534519.141
University of North Carolina at Chapel Hill,2157237.483,2344279.691,2659759.286,2967023.831,2899973.752,2947111.046,3307663.198
"University of Wisconsin, Madison",2068494.904,2295273.339,3133196.699,3288911.159,3058959.736,3759387.073,4243439.519
University of Richmond,1868910.0,2025996.0,2313305.0,2371810.0,2189546.0,2373506.0,2511584.0
"Purdue University, Main Campus",1861079.242,2189202.378,2445541.926,2392724.9,2244743.141,2347514.968,2336955.139
California Institute of Technology,1811497.0,1960435.0,2118100.0,2078954.0,2217372.0,2641050.0,2907002.0
"Pennsylvania State University, Main Campus",1772921.0,1924143.0,2264414.0,2395857.0,2362197.0,2615568.0,2891684.0
Michigan State University,1760708.053,2007498.264,2549137.018,2671410.594,2590300.368,3084973.262,3306596.912
Williams College,1728548.82,1902111.607,2143152.951,2265857.318,2159403.061,2383499.723,2626266.56
Pomona College,1679640.0,1823441.0,2101461.0,2098703.0,1984930.0,2165208.0,2273707.0
Amherst College,1640666.036,1823748.203,2149202.662,2193510.735,2031842.927,2248140.501,2377537.246
Boston College,1632634.855,1868698.514,2105654.033,2258601.496,2109860.476,2334883.037,2515666.637
"Georgia Institute of Technology, Main Campus",1608247.917,1714876.0,1889014.0,1858977.0,1843764.0,1985802.0,2091110.0
Case Western Reserve University,1600013.0,1678563.0,1758570.0,1775999.0,1662739.0,1798790.0,1886761.0
University of Rochester,1581773.0,1730829.0,2015282.553,2050199.0,1927498.0,2121390.0,2257357.0
George Washington University,1556592.0,1375202.0,1576508.0,1616357.0,1570278.0,1729147.0,1798810.0
Swarthmore College,1498775.0,1634685.0,1876669.0,1845799.0,1746962.0,1955532.0,2115768.0
Wellesley College,1468582.0,1576337.0,1834137.0,1881031.0,1784479.0,1930752.0,2105212.0
Smith College,1409755.12,1557426.714,1755755.134,1781763.199,1627469.366,1767465.922,1875092.651
Grinnell College,1383856.0,1553629.0,1829521.0,1787775.0,1648783.0,1871046.0,1991605.0
Tufts University,1351166.0,1440527.0,1590045.0,1593019.0,1562968.0,1738706.0,1845956.0
"University of California, Los Angeles",1317905.0,1411797.0,1616045.0,2328472.0,1703587.0,1961228.0,2125752.0
